id,user_id,name,description,condition,notes,created_at,updated_at,type,country,year,front_image,back_image,added_by,added_date,continente,continent
199,8050297c-c956-4a6b-8857-55a45d502609,1 Tyin,,ottima,,2025-05-30 19:49:08.6106+00,2025-05-30 19:49:08.6106+00,banconota,Kazakhstan,1993,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/25b144301xy_1748634544725.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/c7npjk1gc6e_1748634546542.jpg,Dario,2025-05-30 19:49:08.496+00,,Asia
200,8050297c-c956-4a6b-8857-55a45d502609,2 Tyin,,ottima,,2025-05-30 19:49:55.268754+00,2025-05-30 19:49:55.268754+00,banconota,Kazakhstan,1993,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/6ru0lejnz9l_1748634587385.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/y17ehgqy5rm_1748634591291.jpg,Dario,2025-05-30 19:49:55.2+00,,Asia
201,8050297c-c956-4a6b-8857-55a45d502609,2 Lempiras,,ottima,,2025-05-31 12:44:11.997912+00,2025-05-31 12:44:11.997912+00,banconota,Honduras,2014,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/vpoaznu069_1748695447083.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/3mdnb5gbwfb_1748695449390.jpg,Dario,2025-05-31 12:44:11.867+00,,Nord America
202,8050297c-c956-4a6b-8857-55a45d502609,200 Vatu,,ottima,,2025-05-31 12:48:11.476014+00,2025-05-31 12:48:11.476014+00,banconota,Vanuatu,2014,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/qsnb1djcp6c_1748695686701.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/mwsefwueqf_1748695689035.jpg,Dario,2025-05-31 12:48:11.375+00,,Oceania
203,8050297c-c956-4a6b-8857-55a45d502609,50 Pounds,,ottima,,2025-05-31 12:50:54.919499+00,2025-05-31 12:50:54.919499+00,banconota,Inghilterra,2010,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/xz47s5h5uim_1748695850331.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/3g9a1eji8vj_1748695852453.jpg,Dario,2025-05-31 12:50:54.821+00,,Europa
204,8050297c-c956-4a6b-8857-55a45d502609,20 Pounds,,ottima,,2025-05-31 12:52:02.193634+00,2025-05-31 12:52:02.193634+00,banconota,Inghilterra,2018,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/mmisk28dipg_1748695917903.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/htlemtja8as_1748695920360.jpg,Dario,2025-05-31 12:52:02.093+00,,Europa
205,8050297c-c956-4a6b-8857-55a45d502609,10 Pounds,,molto-buona,,2025-05-31 12:52:53.606682+00,2025-05-31 12:52:53.606682+00,banconota,Inghilterra,2016,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/dd9bxwh06bn_1748695969077.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/xhpnih17jy_1748695971123.jpg,Dario,2025-05-31 12:52:53.508+00,,Europa
206,8050297c-c956-4a6b-8857-55a45d502609,20 Pounds,,ottima,,2025-05-31 12:53:43.203742+00,2025-05-31 12:53:43.203742+00,banconota,Inghilterra,2006,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/79fbg5c49dk_1748696018870.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/usf1fwbwcs_1748696021325.jpg,Dario,2025-05-31 12:53:43.108+00,,Europa
207,8050297c-c956-4a6b-8857-55a45d502609,10 Pounds,,molto-buona,,2025-05-31 12:55:05.931145+00,2025-05-31 12:55:05.931145+00,banconota,Inghilterra,2000,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/ex238wa53h_1748696101184.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/ebt2pvxzk3o_1748696103328.jpg,Dario,2025-05-31 12:55:05.808+00,,Europa
208,8050297c-c956-4a6b-8857-55a45d502609,5 Pounds,,buona,,2025-05-31 12:55:58.910995+00,2025-05-31 12:55:58.910995+00,banconota,Inghilterra,2002,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/og6dy2hbt69_1748696153939.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/0r8f1lnuai1_1748696156599.jpg,Dario,2025-05-31 12:55:58.822+00,,Europa
209,8050297c-c956-4a6b-8857-55a45d502609,5 Pounds,,buona,,2025-05-31 12:56:57.297353+00,2025-05-31 12:56:57.297353+00,banconota,Inghilterra,2015,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/tj55jwtihao_1748696212642.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/nnp21d29l8i_1748696214763.jpg,Dario,2025-05-31 12:56:57.205+00,,Europa
210,8050297c-c956-4a6b-8857-55a45d502609,1 Pound,,discreta,,2025-05-31 12:57:50.880473+00,2025-05-31 12:57:50.880473+00,banconota,Inghilterra,1978,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/9mmotwt8ek_1748696266054.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/d2ordr9jzn_1748696268443.jpg,Dario,2025-05-31 12:57:50.773+00,,Europa
211,8050297c-c956-4a6b-8857-55a45d502609,5 Pounds,,ottima,,2025-05-31 12:58:44.01588+00,2025-05-31 12:58:44.01588+00,banconota,Inghilterra,2023,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/bi41vy8gl2_1748696319493.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/gujjdvuzy8_1748696321654.jpg,Dario,2025-05-31 12:58:43.904+00,,Europa
212,8050297c-c956-4a6b-8857-55a45d502609,1 Ngultrum,,ottima,,2025-05-31 13:06:49.645112+00,2025-05-31 13:06:49.645112+00,banconota,Bhutan,1981,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/llmn7310dxl_1748696805287.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/yxm70n3naeo_1748696807527.jpg,Dario,2025-05-31 13:06:49.494+00,,Asia
213,8050297c-c956-4a6b-8857-55a45d502609,10 Ngultrum,,ottima,,2025-05-31 13:07:56.786056+00,2025-05-31 13:07:56.786056+00,banconota,Bhutan,1992,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/t97dx4yz1t_1748696872370.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/c8byq4zrqnm_1748696874295.jpg,Dario,2025-05-31 13:07:56.668+00,,Asia
214,8050297c-c956-4a6b-8857-55a45d502609,20 Kina,,ottima,,2025-05-31 13:11:08.269192+00,2025-05-31 13:11:08.269192+00,banconota,Papua Nuova Guinea,1989,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/hngtpa6e87b_1748697063258.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/ipsle6cj1if_1748697065806.jpg,Dario,2025-05-31 13:11:08.154+00,,Oceania
